axis,min_nodes,max_nodes,n_networks,mean_z,median_z,fraction_z_gt_0,fraction_p_le_0_05,mean_fold_reduction,passes_gate_a,delta_mean_z,delta_fraction_z_gt_0,delta_fraction_p_le_0_05,excluded_source,trim,density_lo,density_hi,density_lo_5pct,density_hi_95pct
size_filter,5.0,60.0,209,0.6739454269491328,0.4449071339419383,0.6555023923444976,0.19138755980861244,1.0216397153491374,True,-0.04948057380597337,-0.00683526999316475,-0.020733652312599687,,,,,,
size_filter,5.0,80.0,219,0.6951672441638735,0.5271828090574217,0.6712328767123288,0.1963470319634703,1.0216483848003821,True,-0.02825875659123267,0.00889521437466645,-0.01577418015774182,,,,,,
size_filter,5.0,100.0,231,0.7234260007551062,0.5271828090574217,0.6623376623376623,0.21212121212121213,1.021448902377068,True,0.0,0.0,0.0,,,,,,
size_filter,10.0,60.0,175,0.733184550966154,0.624019289453941,0.6742857142857143,0.21142857142857144,1.022230209194355,True,0.009758550211047767,0.01194805194805193,-0.0006926406926406892,,,,,,
size_filter,10.0,80.0,185,0.7551044792356568,0.6298232474206197,0.6918918918918919,0.21621621621621623,1.0222085533639247,True,0.03167847848055061,0.029554229554229594,0.004095004095004101,,,,,,
size_filter,10.0,100.0,197,0.7845893825438465,0.6298232474206197,0.6802030456852792,0.233502538071066,1.021940520559112,True,0.061163381788740256,0.017865383347616892,0.02138132594985387,,,,,,
size_filter,15.0,60.0,127,0.8515553607507181,0.6298232474206197,0.7086614173228346,0.2440944881889764,1.0234901269916763,True,0.12812935999561192,0.04632375498517227,0.03197327606776426,,,,,,
size_filter,15.0,80.0,137,0.872515058794604,0.6612255294199418,0.7299270072992701,0.24817518248175183,1.0233689189142836,True,0.1490890580394978,0.06758934496160773,0.0360539703605397,,,,,,
size_filter,15.0,100.0,149,0.9020425688416241,0.6612255294199418,0.7114093959731543,0.2684563758389262,1.0229210877119186,True,0.17861656808651794,0.049071733635492,0.05633516371771405,,,,,,
leave_one_source_out,,,183,0.7166435380431769,0.4449071339419383,0.6666666666666666,0.21311475409836064,1.0221606604462554,True,-0.006782462711929282,0.0043290043290042934,0.0009935419771485154,BioModels,,,,,
leave_one_source_out,,,224,0.7079330891400833,0.450523378065951,0.65625,0.20982142857142858,1.0201337338336265,True,-0.015492911615022864,-0.006087662337662336,-0.0022997835497835517,Literature,,,,,
leave_one_source_out,,,57,0.7656244892403001,0.6612255294199418,0.6491228070175439,0.21052631578947367,1.0230660941250074,True,0.04219848848519392,-0.013214855320118457,-0.0015948963317384546,published,,,,,
density_trim,,,231,0.7234260007551062,0.5271828090574217,0.6623376623376623,0.21212121212121213,1.021448902377068,True,0.0,0.0,0.0,,none,0.01754907792980369,0.64,0.030549848521781525,0.31476331360946747
density_trim,,,207,0.7944416829733993,0.624019289453941,0.6859903381642513,0.2318840579710145,1.0235573558616442,True,0.07101568221829313,0.02365267582658892,0.01976284584980237,,5-95%,0.030549848521781525,0.31476331360946747,0.030549848521781525,0.31476331360946747
density_trim,,,185,0.8626864066379644,0.6298232474206197,0.7027027027027027,0.24864864864864866,1.0260448494289578,True,0.13926040588285815,0.040365040365040405,0.036527436527436535,,10-90%,0.03563995837669095,0.25,0.030549848521781525,0.31476331360946747
