project,n_pairs,mean_D_normal,mean_D_tumor,mean_Delta_D,std_Delta_D,paired_t_t,paired_t_p,t_test_vs0_t,t_test_vs0_p,corr_mutcount_delta_r,corr_mutcount_delta_p
TCGA-LIHC,5,107.95816923402549,77.05571885522102,-30.902450378804485,10.574910951422712,-6.534332065370675,0.0028340428009521364,-6.534332065370675,0.0028340428009521364,-0.9065945314194372,0.03378407508295451
TCGA-LUAD,5,107.95816923402549,84.26461549763522,-23.693553736390278,15.018351020473197,-3.5277106461880723,0.024280605354003906,-3.5277106461880723,0.024280605354003906,-0.9684033498689625,0.006710058675163188
TCGA-COAD,5,107.95816923402549,86.95571737011569,-21.002451863909798,11.586241390040286,-4.053334336900622,0.015433232942417604,-4.053334336900622,0.015433232942417604,-0.9784352717652979,0.0037891345147310347
TCGA-BRCA,5,107.95816923402549,90.11239283724531,-17.84577639678017,5.702768214322446,-6.997368231491908,0.002195221146466858,-6.997368231491908,0.002195221146466858,-0.942293373841175,0.016495937674906435
TCGA-KIRC,5,107.95816923402549,93.10592505476758,-14.8522441792579,5.629841451354988,-5.899034260592385,0.004131341414009083,-5.899034260592385,0.004131341414009083,-0.7808136983057223,0.11905103169024066
TCGA-KIRP,5,107.95816923402549,94.50962519780857,-13.448544036216921,8.709231765096098,-3.452871559108017,0.02598623242996179,-3.452871559108017,0.02598623242996179,-0.9750800852356819,0.004704609855617432
TCGA-LUSC,5,107.95816923402549,96.23010345243667,-11.728065781588825,5.779820653636371,-4.537295169482902,0.01051873785573578,-4.537295169482902,0.01051873785573578,-0.8955135988133216,0.03990222067807964
TCGA-HNSC,5,107.95816923402549,97.06656569487636,-10.891603539149127,7.560464149618075,-3.221279198677905,0.03224131017721497,-3.221279198677905,0.03224131017721497,-0.877565863631584,0.05047154611803144
TCGA-THCA,5,107.95816923402549,100.62875357813178,-7.329415655893717,15.19956923248106,-1.078258955320034,0.3416023397040308,-1.078258955320034,0.3416023397040308,-0.9954434838016086,0.0003689658591981356
TCGA-PRAD,5,107.95816923402549,103.00445349067073,-4.953715743354778,5.0225783460474185,-2.20541012606986,0.0920957062740596,-2.20541012606986,0.0920957062740596,-0.7722195110034276,0.12594570542112055
